QuizID,Category,Subtopic,Title,Level,DurationSeconds,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectAnswer
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,What is the primary objective of most for-profit businesses?,Social welfare,Environmental sustainability,Profit maximization,Employee happiness,Profit maximization
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,Which of the following is NOT considered one of the four basic functions of management?,Planning,Organizing,Selling,Controlling,Selling
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,"In accounting, what are the economic resources owned by a business that are expected to provide future benefit?",Liabilities,Expenses,Assets,Equity,Assets
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,Which of the following is one of the '4 Ps' of the marketing mix?,People,Process,Place,Patience,Place
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,A business structure owned and operated by a single individual is called a:,Partnership,Corporation,Sole Proprietorship,Cooperative,Sole Proprietorship
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,"The process of attracting, developing, and maintaining a high-quality workforce is known as:",Financial Management,Operations Management,Human Resource Management,Marketing Management,Human Resource Management
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,What term describes the amount of a good or service that consumers are willing and able to purchase at a given price?,Supply,Demand,Equilibrium,Scarcity,Demand
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,Funds contributed by the owners of a company are generally referred to as:,Debt Capital,Equity Capital,Working Capital,Venture Capital,Equity Capital
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,The moral principles and values that guide decision-making and behavior in business are known as:,Strategic Planning,Business Ethics,Risk Management,Market Research,Business Ethics
744044,Academic & Education,Commerce & Management,Commerce & Management - Easy Level Challenge,Easy,600,"An individual who starts a new business, taking on financial risks in the hope of profit, is called an:",Employee,Manager,Entrepreneur,Investor,Entrepreneur
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"A company just paid a dividend of $2.00. Dividends are expected to grow at 20% for the next 2 years, then at 10% for the following 3 years, and finally at a constant rate of 4% indefinitely. If the required rate of return is 12%, what is the intrinsic value of the stock today?",$39.48,$37.15,$41.80,$43.25,$39.48
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"According to Michael Porter, a firm that simultaneously pursues both cost leadership and differentiation strategies without achieving either effectively is described as being 'stuck in the middle.' What is the primary strategic implication of this position?",It invariably leads to increased market share due to broad appeal.,It is a desirable long-term strategy for niche markets.,It results in below-average performance as the firm lacks a clear competitive advantage.,It implies successful synergy between conflicting strategic objectives.,It results in below-average performance as the firm lacks a clear competitive advantage.
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"An employee perceives that their colleague, who has similar qualifications and performs comparable duties, receives a significantly higher salary. This perception primarily relates to a breakdown in which motivational theory's principles?",Maslow's Hierarchy of Needs,Herzberg's Two-Factor Theory,Adam's Equity Theory,Vroom's Expectancy Theory,Adam's Equity Theory
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"The Kinked Demand Curve model of oligopoly behavior, developed by Paul Sweezy, is primarily used to explain which phenomenon?",The ease of entry and exit in oligopolistic markets.,"The tendency for price rigidity among oligopolists, even with changing costs.",The rationale behind aggressive price wars in concentrated industries.,The determination of optimal output levels for a monopoly.,"The tendency for price rigidity among oligopolists, even with changing costs."
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"Under IFRS 15 (Revenue from Contracts with Customers), which of the following is *not* one of the distinct steps in the five-step model for revenue recognition?",Identify the contract with the customer.,Determine the standalone selling price for each distinct good or service.,Allocate the transaction price to the performance obligations.,Recognize revenue when (or as) the entity satisfies a performance obligation.,Determine the standalone selling price for each distinct good or service.
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"A pharmaceutical company has developed a groundbreaking, patented drug that offers significant health benefits for a rare condition with no existing cure. Production costs are high, but the potential market, though small, is willing to pay a premium. Which pricing strategy would be most appropriate initially, and why?","Penetration pricing, to quickly gain market share and discourage competitors.","Price lining, to offer various price points for different formulations.","Skimming pricing, to recover R&D costs quickly and capitalize on demand inelasticity.","Psychological pricing, to make the drug appear more affordable.","Skimming pricing, to recover R&D costs quickly and capitalize on demand inelasticity."
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"Which performance appraisal method involves developing specific behavioral examples that illustrate various levels of performance, from superior to poor, for each job dimension?",Management by Objectives (MBO),Critical Incident Method,Behaviorally Anchored Rating Scales (BARS),Graphic Rating Scales,Behaviorally Anchored Rating Scales (BARS)
347190,Academic & Education,Commerce & Management,Commerce & Management - Hard Level Challenge,Hard,1200,"Which theory of corporate governance posits that managers are trustworthy stewards of the firm's assets, intrinsically motivated to act in the best interests of the organization and its shareholders, and derive satisfaction from organizational success?",Agency Theory,Stakeholder Theory,Stewardship Theory,Transaction Cost Economics,Stewardship Theory
